4226,1115,29,143,146
8043,2678,217,91,125
3090,1281,98,32,189
1250,6064,49,227,27
8520,8400,32,242,197
1636,7401,157,242,74
1296,5992,57,228,44
870,784,185,174,133
9908,3274,3,110,0
3620,6430,93,62,13
7557,450,3,157,4
8723,3889,71,136,119
5898,9915,183,65,192
9618,261,19,221,8
4731,8337,102,30,92
9629,4455,113,83,105
7557,4843,113,126,107
5321,9477,77,108,200
7571,4720,109,121,125
9081,4936,119,117,26
7016,334,98,214,106
7557,450,13,158,4
572,6881,65,75,103
9711,7933,191,194,72
7504,4958,113,135,118
2990,7926,41,7,234
5353,2679,98,55,132
1635,7397,158,225,88
8533,8349,28,223,199
385,1261,143,213,53
4869,9674,42,65,133
308,9128,15,180,213
6159,3235,172,7,36
7744,1236,0,18,129
5670,2126,48,24,61
7550,6913,13,240,112
5391,2603,96,40,132
2541,9432,142,188,95
1807,7336,85,211,94
9620,261,20,219,11
9908,3274,3,118,0
8569,7830,121,19,194
1188,1553,46,149,44
6139,3078,48,189,194
2541,9432,150,189,100
7503,4277,118,195,111
404,1236,151,214,52
8415,4251,80,213,205
4493,4291,249,125,107
2509,9441,149,188,109
8697,840,171,203,123
9076,4930,100,100,16
5064,9741,40,56,137
769,1885,254,37,107
5410,1885,140,44,172
7472,6653,32,213,114
1705,4809,52,19,94
4123,1126,35,163,148
694,6820,62,85,100
8274,1621,69,178,151
2519,3841,193,69,177
7355,4890,107,109,124
4049,1155,65,29,242
7470,6782,5,240,118
6233,3228,171,7,45
6966,9477,128,101,6
788,9038,33,93,30
9600,283,23,194,38
9618,261,18,236,1
3635,6412,95,75,20
9618,261,28,233,1
6938,9513,118,104,32
8609,9073,47,99,145
9618,261,20,237,9
5613,2659,94,49,126
1798,7179,98,182,109
396,1239,148,210,52
1291,6008,56,228,48
8758,820,176,227,131
786,6864,58,71,112
367,9017,167,13,251
2707,3875,172,99,18
1284,5968,68,229,56
6001,3079,44,194,204
1848,7199,78,202,110
1168,1540,59,151,42
7557,450,11,157,6
8375,8496,55,216,195
5588,9604,190,61,191
2698,3874,171,99,13
5550,286,123,170,49
874,796,191,171,128
4084,1183,33,164,151
9911,3260,3,104,14
2391,8710,122,132,204
6966,9477,133,113,5
9628,4390,128,73,106
3601,6428,96,59,29
4221,1130,27,149,140
5588,2780,96,40,129
8581,9035,44,95,134
5779,9807,186,63,199
4586,8384,101,30,93
7538,7059,8,230,125
5567,2138,46,31,77
8522,8033,120,18,180
9618,261,23,239,7
7827,1377,5,18,127
98,8580,187,28,238
769,6845,56,65,115
8808,4287,81,225,215
8446,8550,28,225,210
7732,6921,9,226,124
7556,6946,15,238,116
770,1779,254,37,101
9618,261,19,238,8
3912,1088,31,173,160
5992,3064,44,184,206
3831,1100,35,160,153
1264,6052,48,229,24
8553,852,185,228,134
8304,1929,72,189,146
2475,9323,154,191,104
2441,9325,146,179,101
7526,4170,114,187,110
4226,1104,39,168,158
207,9244,13,183,190
134,8717,33,181,216
7123,1503,22,184,121
8665,3910,83,142,128
5541,307,127,175,43
5591,375,133,158,47
1618,7394,165,234,74
5329,9609,80,106,205
9901,3271,6,110,20
7596,6794,32,224,127
8508,8563,28,227,203
7471,6956,15,239,116
6966,9477,128,119,8
